Post-Office-Name,pincode,Locality,District,State,Post Office Type,Taluka
Amravati H.O,444601,Tahasil,Amravati,Maharashtra,Head Office ,Amravati
Ambapeth S.O,444601,Ambapeth,Amravati,Maharashtra,Sub Post Office ,Amravati
Bhaji Bazar Amravati S.O,444601,Bhaji Bazar,Amravati,Maharashtra,Sub Post Office ,Amravati
Old Cotton Market S.O,444601,Old Cotton Market,Amravati,Maharashtra,Sub Post Office ,Amravati
Rajapeth S.O,444601,Rajapeth,Amravati,Maharashtra,Sub Post Office ,Amravati
Walgaon Road Tso Amravati S.O,444601,Walgaon Road ,Amravati,Maharashtra,Sub Post Office ,Amravati
Amravati Camp S.O,444602,Amravati Camp,Amravati,Maharashtra,Sub Post Office ,Amravati
Bhatkuli S.O,444602,Bhatkuli,Amravati,Maharashtra,Sub Post Office ,Bhatkuli
Sant GadgebabaAmravatiUniversity S.O,444602,Sant GadgebabaAmravatiUniversity,Amravati,Maharashtra,Sub Post Office ,Amravati
Asra B.O,444602,Asra,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Borgaon Dharmale,444602,Borgaon Dharmale,Amravati,Maharashtra,Branch Post Office ,Amravati
Dadhi B.O,444602,Dadhi,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Ganoja Devi B.O,444602,Ganoja Dev,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Ganori B.O,444602,Ganori,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Kathora B.O,444602,Kathora,Amravati,Maharashtra,Branch Post Office ,Amravati
Kawatha B.O,444602,Kawatha,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Khalkoni B.O,444602,Khalkoni,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Nimbha B.O,444602,Nimbha,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Parlam B.O,444602,Parlam,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Rahatgaon B.O,444602,Rahatgaon,Amravati,Maharashtra,Branch Post Office ,Amravati
Sayat B.O,444602,Sayat,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
SRPF Camp B.O,444602,SRPF Camp,Amravati,Maharashtra,Branch Post Office ,Amravati
Tapovan B.O,444602,Tapovan,Amravati,Maharashtra,Branch Post Office ,Amravati
Uttamsara B.O,444602,Uttamsara,Amravati,Maharashtra,Branch Post Office ,Bhatkuli
Wadgaon Mahore B.O,444602,Wadgaon Mahore,Amravati,Maharashtra,Branch Post Office ,Amravati
Shivaji Nagar S.O (Amravati),444603,Shivaji Nagar,Amravati,Maharashtra,Sub Post Office ,Amravati
V.M.V. (Amravati) S.O,444604,V.M.V.,Amravati,Maharashtra,Sub Post Office ,Amravati
H. V. Nagar S.O,444605,H. V. Nagar,Amravati,Maharashtra,Sub Post Office ,Amravati
Rukhmini Nagar S.O,444606,Rukhmini Nagar,Amravati,Maharashtra,Sub Post Office ,Amravati
Congress Nagar S.O (Amravati),444606,Congress Nagar,Amravati,Maharashtra,Sub Post Office ,Amravati
Gokul Market S.O,444606,Gokul Market,Amravati,Maharashtra,Sub Post Office ,Amravati
Sai Nagar S.O,444607,Sai Nagar,Amravati,Maharashtra,Sub Post Office ,Amravati
Badnera S.O,444701,Badnera,Amravati,Maharashtra,Sub Post Office ,Amaravati
Badnera Town S.O,444701,Badnera Town,Amravati,Maharashtra,Sub Post Office ,Amaravati
